pokemon,total_batalhas
163,164
344,160
667,159
214,158
758,158
79,157
762,156
690,156
374,155
579,154
708,154
470,154
53,154
428,153
333,153
623,152
768,152
431,151
738,151
522,151
171,151
541,151
780,150
228,150
73,150
314,150
380,150
593,150
542,149
224,149
438,149
401,149
490,149
376,149
586,148
677,148
36,148
634,148
372,148
719,148
334,148
282,148
242,148
764,147
526,147
692,147
599,147
278,147
609,146
512,146
47,145
432,145
225,145
631,145
259,144
680,144
309,144
415,144
310,144
559,144
13,144
584,144
799,144
369,143
93,143
319,143
54,143
113,143
49,143
89,143
118,143
304,143
332,142
96,142
130,142
364,142
60,142
716,142
212,142
152,142
208,142
544,142
687,141
133,141
502,141
465,141
486,141
154,141
11,141
330,141
774,140
116,140
26,140
230,140
627,140
55,140
58,140
683,140
439,140
211,140
40,140
194,140
71,140
324,140
416,140
426,140
257,139
248,139
198,139
157,139
387,139
335,139
446,139
140,139
267,139
8,139
360,139
241,139
394,139
726,139
449,139
143,139
293,139
255,138
560,138
27,138
175,138
289,138
268,138
461,138
52,138
291,138
177,138
290,138
531,138
352,138
151,138
567,138
696,138
162,138
657,138
779,138
367,137
222,137
142,137
328,137
658,137
409,137
794,137
107,137
226,137
699,137
182,137
698,137
527,137
82,137
277,137
181,137
105,137
117,136
132,136
338,136
412,136
730,136
386,136
444,136
530,136
305,136
159,136
252,136
174,136
250,136
600,136
596,136
111,136
31,136
453,136
232,136
601,136
179,136
325,136
38,136
283,136
551,136
660,136
564,135
570,135
323,135
540,135
281,135
468,135
670,135
492,135
9,135
254,135
164,135
582,135
475,135
81,135
231,135
104,135
25,135
205,135
672,135
249,135
134,135
83,135
462,135
313,134
546,134
430,134
523,134
223,134
400,134
312,134
218,134
668,134
92,134
612,134
760,134
733,134
340,134
99,134
405,134
537,134
549,134
342,134
391,134
246,134
694,134
264,134
147,134
427,134
126,133
565,133
616,133
576,133
397,133
286,133
753,133
410,133
292,133
1,133
418,133
216,133
411,133
445,133
591,133
7,133
239,133
141,133
638,133
97,133
539,133
734,133
424,133
272,133
590,133
493,133
15,133
3,132
318,132
604,132
146,132
548,132
656,132
451,132
403,132
750,132
788,132
423,132
619,132
215,132
578,132
434,132
770,132
389,132
524,132
654,132
557,132
614,132
148,132
173,132
251,132
592,132
349,132
732,132
543,131
260,131
95,131
635,131
797,131
756,131
710,131
632,131
682,131
406,131
507,131
440,131
103,131
784,131
745,131
399,131
355,131
585,131
572,131
663,131
554,131
558,131
87,131
29,131
245,131
311,130
45,130
776,130
681,130
529,130
528,130
573,130
70,130
233,130
23,130
284,130
18,130
68,130
463,130
581,130
306,130
244,130
395,130
595,130
571,130
414,130
370,130
119,129
383,129
131,129
348,129
639,129
477,129
515,129
393,129
50,129
742,129
43,129
759,129
754,129
676,129
136,129
110,129
673,129
460,129
123,129
789,129
697,129
135,129
793,129
169,129
626,129
155,129
100,128
197,128
150,128
684,128
679,128
535,128
629,128
505,128
404,128
474,128
751,128
700,128
785,128
308,128
149,128
48,128
713,128
57,128
115,128
186,128
261,128
577,128
219,128
379,128
262,128
711,128
125,128
200,128
665,128
19,128
39,128
422,128
729,128
718,128
791,127
258,127
256,127
748,127
213,127
574,127
464,127
217,127
191,127
337,127
396,127
727,127
41,127
320,127
44,127
607,127
494,127
674,127
741,127
731,127
610,127
295,127
724,126
24,126
645,126
363,126
276,126
297,126
294,126
56,126
21,126
624,126
124,126
520,126
459,126
664,126
359,126
388,126
450,126
500,126
247,126
331,126
685,126
210,125
702,125
356,125
176,125
517,125
229,125
209,125
704,125
4,125
300,125
478,125
407,125
487,125
483,125
339,125
705,125
707,125
497,125
30,125
646,125
366,125
420,125
636,125
456,125
67,125
725,125
165,125
721,124
561,124
695,124
467,124
447,124
269,124
288,124
773,124
597,124
678,124
361,124
238,124
736,124
761,124
303,124
763,124
378,124
471,124
580,124
642,124
651,124
51,124
317,124
442,124
137,124
640,124
74,124
385,124
787,124
615,124
296,123
744,123
482,123
382,123
587,123
42,123
602,123
455,123
221,123
717,123
299,123
329,123
441,123
437,123
373,123
365,123
280,123
201,123
701,123
270,123
279,123
408,123
637,123
458,123
180,123
206,123
28,123
237,123
518,123
538,123
448,122
86,122
377,122
37,122
553,122
184,122
617,122
771,122
691,122
199,122
625,122
275,122
341,122
392,122
562,122
689,122
778,122
190,122
170,121
772,121
622,121
301,121
752,121
193,121
786,121
77,121
510,121
650,121
722,121
265,121
737,121
327,121
740,121
384,121
790,121
536,121
2,121
158,121
769,121
390,121
347,121
653,121
755,121
783,121
739,121
476,121
693,121
800,121
425,121
603,121
22,121
375,121
511,121
662,121
32,121
321,121
715,121
138,121
457,121
302,120
532,120
433,120
64,120
307,120
114,120
735,120
350,120
501,120
498,120
648,120
59,120
766,120
488,120
652,120
16,120
495,120
503,120
167,120
641,120
353,120
94,119
443,119
196,119
643,119
203,119
798,119
598,119
513,119
481,119
106,119
35,119
508,119
484,119
202,119
620,119
20,119
688,119
120,119
204,119
227,119
647,119
720,119
743,118
62,118
628,118
127,118
6,118
547,118
240,118
496,118
552,118
368,118
514,118
491,118
594,118
128,117
608,117
316,117
630,117
357,117
775,117
669,117
480,117
80,117
452,117
160,117
575,117
550,117
10,117
139,117
402,116
192,116
345,116
525,116
714,116
534,116
568,116
273,116
75,116
88,116
588,116
172,116
161,116
91,116
326,116
362,116
675,115
563,115
781,115
706,115
14,115
61,115
747,115
189,115
84,115
723,115
792,115
65,114
469,114
521,114
185,114
504,114
129,114
569,114
606,114
102,114
506,114
315,114
649,114
285,114
168,113
166,113
728,113
613,113
473,113
243,113
533,113
417,113
298,113
109,113
234,113
435,113
633,113
661,113
749,112
108,112
746,112
436,112
354,112
671,112
381,112
188,112
765,112
351,112
5,112
336,112
156,112
466,111
343,111
545,111
17,111
472,111
659,111
666,111
519,111
555,111
703,111
101,111
98,111
178,111
207,111
72,110
153,110
757,110
485,110
346,110
413,110
266,110
644,110
611,110
589,109
621,109
220,109
235,109
686,109
421,108
69,108
509,108
76,108
121,108
358,108
195,108
371,108
499,108
63,108
253,108
767,107
287,107
795,107
271,107
583,107
777,106
429,106
187,105
796,105
34,105
274,105
85,105
489,104
516,104
709,102
454,102
712,100
566,100
145,99
605,99
122,98
263,97
112,95
398,92
